year,date,stage,is_knockout,home_team,away_team,home_goals,away_goals,outcome,attendance
1966,1966-07-13 19:30:00,Group 2,0,Argentina,Spain,2.0,1.0,home_win,42738.0
1966,1966-07-13 19:30:00,Group 4,0,Italy,Chile,2.0,0.0,home_win,27199.0
1966,1966-07-15 19:30:00,Group 1,0,Uruguay,France,2.0,1.0,home_win,45662.0
1966,1966-07-15 19:30:00,Group 2,0,Spain,Switzerland,2.0,1.0,home_win,32028.0
1966,1966-07-15 19:30:00,Group 3,0,Hungary,Brazil,3.0,1.0,home_win,51387.0
1966,1966-07-15 19:30:00,Group 4,0,North Korea,Chile,1.0,1.0,draw,13792.0
1966,1966-07-16 15:00:00,Group 3,0,Portugal,Bulgaria,3.0,0.0,home_win,25438.0
1966,1966-07-16 15:00:00,Group 2,0,Germany FR,Argentina,0.0,0.0,draw,46587.0
1966,1966-07-16 15:00:00,Group 4,0,Russia,Italy,1.0,0.0,home_win,27793.0
1966,1966-07-16 19:30:00,Group 1,0,England,Mexico,2.0,0.0,home_win,92570.0
1966,1966-07-19 16:30:00,Group 1,0,Uruguay,Mexico,0.0,0.0,draw,61112.0
1966,1966-07-19 19:30:00,Group 2,0,Argentina,Switzerland,2.0,0.0,home_win,32127.0
1966,1966-07-19 19:30:00,Group 3,0,Portugal,Brazil,3.0,1.0,home_win,58479.0
1966,1966-07-19 19:30:00,Group 4,0,North Korea,Italy,1.0,0.0,home_win,17829.0
1966,1966-07-20 19:30:00,Group 1,0,England,France,2.0,0.0,home_win,98270.0
1966,1966-07-20 19:30:00,Group 3,0,Hungary,Bulgaria,3.0,1.0,home_win,24129.0
1966,1966-07-20 19:30:00,Group 2,0,Germany FR,Spain,2.0,1.0,home_win,42187.0
1966,1966-07-20 19:30:00,Group 4,0,Russia,Chile,2.0,1.0,home_win,16027.0
1966,1966-07-23 15:00:00,Quarter-finals,1,England,Argentina,1.0,0.0,home_win,90584.0
1966,1966-07-23 15:00:00,Quarter-finals,1,Germany FR,Uruguay,4.0,0.0,home_win,40007.0
1966,1966-07-23 15:00:00,Quarter-finals,1,Russia,Hungary,2.0,1.0,home_win,26844.0
1966,1966-07-23 15:00:00,Quarter-finals,1,Portugal,North Korea,5.0,3.0,home_win,40248.0
1966,1966-07-25 19:30:00,Semi-finals,1,Germany FR,Russia,2.0,1.0,home_win,38273.0
1966,1966-07-26 19:30:00,Semi-finals,1,England,Portugal,2.0,1.0,home_win,94493.0
1966,1966-07-28 19:30:00,Match for third place,1,Portugal,Russia,2.0,1.0,home_win,87696.0
1966,1966-07-30 15:00:00,Final,1,England,Germany FR,4.0,2.0,home_win,96924.0
1970,1970-05-31 12:00:00,Group 1,0,Mexico,Russia,0.0,0.0,draw,107160.0
1970,1970-06-02 16:00:00,Group 2,0,Uruguay,Israel,2.0,0.0,home_win,20654.0
1970,1970-06-02 16:00:00,Group 4,0,Peru,Bulgaria,3.0,2.0,home_win,13765.0
1970,1970-06-02 16:00:00,Group 3,0,England,Romania,1.0,0.0,home_win,50560.0
1970,1970-06-03 16:00:00,Group 2,0,Italy,Sweden,1.0,0.0,home_win,13433.0
1970,1970-06-03 16:00:00,Group 4,0,Germany FR,Morocco,2.0,1.0,home_win,12942.0
1970,1970-06-03 16:00:00,Group 3,0,Brazil,Czech Republic,4.0,1.0,home_win,52897.0
1970,1970-06-03 16:00:00,Group 1,0,Belgium,El Salvador,3.0,0.0,home_win,92205.0
1970,1970-06-06 16:00:00,Group 2,0,Uruguay,Italy,0.0,0.0,draw,29968.0
1970,1970-06-06 16:00:00,Group 4,0,Peru,Morocco,3.0,0.0,home_win,13537.0
1970,1970-06-06 16:00:00,Group 3,0,Romania,Czech Republic,2.0,1.0,home_win,56818.0
1970,1970-06-06 16:00:00,Group 1,0,Russia,Belgium,4.0,1.0,home_win,95261.0
1970,1970-06-07 12:00:00,Group 2,0,Sweden,Israel,1.0,1.0,draw,9624.0
1970,1970-06-07 12:00:00,Group 4,0,Germany FR,Bulgaria,5.0,2.0,home_win,12710.0
1970,1970-06-07 12:00:00,Group 3,0,Brazil,England,1.0,0.0,home_win,66843.0
1970,1970-06-07 12:00:00,Group 1,0,Mexico,El Salvador,4.0,0.0,home_win,103058.0
1970,1970-06-10 16:00:00,Group 2,0,Sweden,Uruguay,1.0,0.0,home_win,18163.0
1970,1970-06-10 16:00:00,Group 4,0,Germany FR,Peru,3.0,1.0,home_win,17875.0
1970,1970-06-10 16:00:00,Group 3,0,Brazil,Romania,3.0,2.0,home_win,50804.0
1970,1970-06-10 16:00:00,Group 1,0,Russia,El Salvador,2.0,0.0,home_win,89979.0
1970,1970-06-11 16:00:00,Group 2,0,Italy,Israel,0.0,0.0,draw,9890.0
1970,1970-06-11 16:00:00,Group 4,0,Bulgaria,Morocco,1.0,1.0,draw,12299.0
1970,1970-06-11 16:00:00,Group 3,0,England,Czech Republic,1.0,0.0,home_win,49292.0
1970,1970-06-11 16:00:00,Group 1,0,Mexico,Belgium,1.0,0.0,home_win,108192.0
1970,1970-06-14 12:00:00,Quarter-finals,1,Italy,Mexico,4.0,1.0,home_win,26851.0
1970,1970-06-14 12:00:00,Quarter-finals,1,Germany FR,England,3.0,2.0,home_win,23357.0
1970,1970-06-14 12:00:00,Quarter-finals,1,Brazil,Peru,4.0,2.0,home_win,54233.0
1970,1970-06-14 12:00:00,Quarter-finals,1,Uruguay,Russia,1.0,0.0,home_win,26085.0
1970,1970-06-17 16:00:00,Semi-finals,1,Brazil,Uruguay,3.0,1.0,home_win,51261.0
1970,,Semi-finals,1,Italy,Germany FR,4.0,3.0,home_win,102444.0
1970,1970-06-20 16:00:00,Match for third place,1,Germany FR,Uruguay,1.0,0.0,home_win,104403.0
1970,1970-06-21 12:00:00,Final,1,Brazil,Italy,4.0,1.0,home_win,107412.0
1974,1974-06-13 17:00:00,Group 2,0,Brazil,Serbia,0.0,0.0,draw,62000.0
1974,1974-06-14 16:00:00,Group 1,0,Germany FR,Chile,1.0,0.0,home_win,81100.0
1974,1974-06-14 19:30:00,Group 1,0,German DR,Australia,2.0,0.0,home_win,17000.0
1974,1974-06-14 19:30:00,Group 2,0,Zaire,Scotland,0.0,2.0,away_win,27000.0
1974,1974-06-15 16:00:00,Group 3,0,Uruguay,Netherlands,0.0,2.0,away_win,55100.0
1974,1974-06-15 16:00:00,Group 3,0,Sweden,Bulgaria,0.0,0.0,draw,23800.0
1974,1974-06-15 18:00:00,Group 4,0,Italy,Haiti,3.0,1.0,home_win,53000.0
1974,1974-06-15 18:00:00,Group 4,0,Poland,Argentina,3.0,2.0,home_win,32700.0
1974,1974-06-18 16:00:00,Group 1,0,Australia,Germany FR,0.0,3.0,away_win,53300.0
1974,1974-06-18 19:30:00,Group 2,0,Scotland,Brazil,0.0,0.0,draw,62000.0
1974,1974-06-18 19:30:00,Group 1,0,Chile,German DR,1.0,1.0,draw,28300.0
1974,1974-06-18 19:30:00,Group 2,0,Serbia,Zaire,9.0,0.0,home_win,31700.0
1974,1974-06-19 19:30:00,Group 3,0,Netherlands,Sweden,0.0,0.0,draw,53700.0
1974,1974-06-19 19:30:00,Group 3,0,Bulgaria,Uruguay,1.0,1.0,draw,13400.0
1974,1974-06-19 19:30:00,Group 4,0,Haiti,Poland,0.0,7.0,away_win,25300.0
1974,1974-06-19 19:30:00,Group 4,0,Argentina,Italy,1.0,1.0,draw,70100.0
1974,1974-06-22 16:00:00,Group 2,0,Scotland,Serbia,1.0,1.0,draw,56000.0
1974,1974-06-22 16:00:00,Group 1,0,Australia,Chile,0.0,0.0,draw,17400.0
1974,1974-06-22 16:00:00,Group 2,0,Zaire,Brazil,0.0,3.0,away_win,36200.0
1974,,Group 1,0,German DR,Germany FR,1.0,0.0,home_win,60200.0
1974,1974-06-23 16:00:00,Group 3,0,Bulgaria,Netherlands,1.0,4.0,away_win,53300.0
1974,1974-06-23 16:00:00,Group 4,0,Argentina,Haiti,4.0,1.0,home_win,25900.0
1974,1974-06-23 16:00:00,Group 3,0,Sweden,Uruguay,3.0,0.0,home_win,28300.0
1974,1974-06-23 16:00:00,Group 4,0,Poland,Italy,2.0,1.0,home_win,70100.0
1974,1974-06-26 16:00:00,Group B,0,Serbia,Germany FR,0.0,2.0,away_win,67385.0
1974,1974-06-26 19:30:00,Group A,0,Brazil,German DR,1.0,0.0,home_win,59863.0
1974,1974-06-26 19:30:00,Group A,0,Netherlands,Argentina,4.0,0.0,home_win,56548.0
1974,1974-06-26 19:30:00,Group B,0,Sweden,Poland,0.0,1.0,away_win,44955.0
1974,1974-06-30 16:00:00,Group A,0,Argentina,Brazil,1.0,2.0,away_win,39400.0
1974,1974-06-30 16:00:00,Group B,0,Poland,Serbia,2.0,1.0,home_win,58000.0
1974,1974-06-30 16:00:00,Group A,0,German DR,Netherlands,0.0,2.0,away_win,68348.0
1974,1974-06-30 19:30:00,Group B,0,Germany FR,Sweden,4.0,2.0,home_win,67800.0
1974,1974-07-03 17:00:00,Group B,0,Poland,Germany FR,0.0,1.0,away_win,62000.0
1974,1974-07-03 19:30:00,Group A,0,Netherlands,Brazil,2.0,0.0,home_win,53700.0
1974,1974-07-03 19:30:00,Group A,0,Argentina,German DR,1.0,1.0,draw,54254.0
1974,1974-07-03 19:30:00,Group B,0,Sweden,Serbia,2.0,1.0,home_win,41300.0
1974,1974-07-06 16:00:00,Match for third place,1,Brazil,Poland,0.0,1.0,away_win,77100.0
1974,,Final,1,Netherlands,Germany FR,1.0,2.0,away_win,78200.0
